"","ObservedDate","County","State","Count","Year","DOY","FirstiNatReport"
"360",2018-10-30,"Berks","PA",1,2018,303,"11/7/2017"
"361",2018-11-01,"Berks","PA",1,2018,305,"11/7/2017"
"362",2018-11-01,"Berks","PA",1,2018,305,"11/7/2017"
"363",2018-11-01,"Northampton","PA",1,2018,305,"11/7/2017"
"364",2018-11-01,"Chester","PA",1,2018,305,"11/7/2017"
"365",2018-11-02,"Chester","PA",1,2018,306,"11/7/2017"
"366",2018-11-03,"Chester","PA",1,2018,307,"11/7/2017"
"367",2018-11-02,"Montgomery","PA",1,2018,306,"11/7/2017"
"368",2018-11-02,"Montgomery","PA",1,2018,306,"11/7/2017"
"369",2018-11-04,"Montgomery","PA",1,2018,308,"11/7/2017"
"370",2018-11-03,"Montgomery","PA",1,2018,307,"11/7/2017"
"371",2018-11-12,"Berks","PA",1,2018,316,"11/7/2017"
"372",2018-11-13,"Chester","PA",1,2018,317,"11/7/2017"
"373",2018-08-17,"Berks","PA",1,2018,229,"11/7/2017"
"374",2018-08-20,"Bucks","PA",1,2018,232,"11/7/2017"
"375",2018-10-13,"Montgomery","PA",1,2018,286,"11/7/2017"
"376",2018-10-04,"Montgomery","PA",1,2018,277,"11/7/2017"
"377",2018-10-13,"Montgomery","PA",1,2018,286,"11/7/2017"
"378",2017-09-03,"Berks","PA",1,2017,246,"11/7/2017"
"379",2018-07-05,"Berks","PA",1,2018,186,"11/7/2017"
"380",2018-10-19,"Montgomery","PA",1,2018,292,"11/7/2017"
"381",2018-11-24,"Lehigh","PA",1,2018,328,"11/7/2017"
"382",2018-11-24,"Lehigh","PA",1,2018,328,"11/7/2017"
"383",2018-11-24,"Lehigh","PA",1,2018,328,"11/7/2017"
"384",2018-11-24,"Lehigh","PA",1,2018,328,"11/7/2017"
"385",2018-09-23,"Northampton","PA",1,2018,266,"11/7/2017"
"386",2018-09-03,"Lehigh","PA",1,2018,246,"11/7/2017"
"387",2018-12-23,"Chester","PA",1,2018,357,"11/7/2017"
"388",2018-12-29,"Berks","PA",1,2018,363,"11/7/2017"
"389",2018-09-27,"Chester","PA",1,2018,270,"11/7/2017"
"390",2018-11-03,"Montgomery","PA",1,2018,307,"11/7/2017"
"391",2019-01-16,"Berks","PA",1,2019,16,"11/7/2017"
"392",2018-09-11,"Northampton","PA",1,2018,254,"11/7/2017"
