ObservedDate,County,State,Count,Year,DOY
6/26/2019,Northampton,PA,1,2019,177
6/26/2019,Mercer,NJ,1,2019,177
6/27/2019,Philadelphia,PA,1,2019,178
6/27/2019,Montgomery,PA,1,2019,178
6/27/2019,Northampton,PA,1,2019,178
6/27/2019,Northampton,PA,1,2019,178
6/27/2019,Northampton,PA,1,2019,178
6/27/2019,Northampton,PA,1,2019,178
6/28/2019,Montgomery,PA,1,2019,179
6/28/2019,Lancaster,PA,1,2019,179
6/28/2019,Chester,PA,1,2019,179
6/28/2019,Montgomery,PA,1,2019,179
6/28/2019,Chester,PA,1,2019,179
6/29/2019,Montgomery,PA,1,2019,180
6/29/2019,Northampton,PA,1,2019,180
6/30/2019,Philadelphia,PA,1,2019,181
6/30/2019,Philadelphia,PA,1,2019,181
6/30/2019,Philadelphia,PA,1,2019,181
6/30/2019,Lehigh,PA,1,2019,181
6/25/2019,Chester,PA,1,2019,176
6/30/2019,Berks,PA,1,2019,181
6/30/2019,Berks,PA,1,2019,181
7/1/2019,Chester,PA,1,2019,182
7/1/2019,Bucks,PA,1,2019,182
7/2/2019,Montgomery,PA,1,2019,183
7/2/2019,Montgomery,PA,1,2019,183
7/2/2019,Berks,PA,1,2019,183
7/2/2019,Chester,PA,1,2019,183
7/2/2019,Warren,NJ,1,2019,183
6/27/2019,Philadelphia,PA,1,2019,178
7/3/2019,Philadelphia,PA,1,2019,184
7/3/2019,Bucks,PA,1,2019,184
7/3/2019,Berks,PA,1,2019,184
7/3/2019,Northampton,PA,1,2019,184
7/3/2019,Montgomery,PA,1,2019,184
7/4/2019,Montgomery,PA,1,2019,185
7/4/2019,Montgomery,PA,1,2019,185
7/5/2019,Montgomery,PA,1,2019,186
7/5/2019,Lehigh,PA,1,2019,186
7/5/2019,Philadelphia,PA,1,2019,186
7/5/2019,Chester,PA,1,2019,186
7/5/2019,Chester,PA,1,2019,186
7/5/2019,Lehigh,PA,1,2019,186
6/9/2019,Lancaster,PA,1,2019,160
7/6/2019,Philadelphia,PA,1,2019,187
7/6/2019,Chester,PA,1,2019,187
7/6/2019,Montgomery,PA,1,2019,187
7/6/2019,Montgomery,PA,1,2019,187
7/6/2019,Philadelphia,PA,1,2019,187
7/6/2019,Montgomery,PA,1,2019,187
7/6/2019,Montgomery,PA,1,2019,187
7/7/2019,Montgomery,PA,1,2019,188
7/7/2019,Montgomery,PA,1,2019,188
7/7/2019,Montgomery,PA,1,2019,188
7/7/2019,Philadelphia,PA,1,2019,188
7/7/2019,Philadelphia,PA,1,2019,188
7/7/2019,Montgomery,PA,1,2019,188
7/7/2019,Philadelphia,PA,1,2019,188
7/7/2019,Chester,PA,1,2019,188
7/8/2019,Philadelphia,PA,1,2019,189
5/22/2019,Bucks,PA,1,2019,142
7/8/2019,Mercer,NJ,1,2019,189
7/6/2019,Philadelphia,PA,1,2019,187
7/8/2019,Chester,PA,1,2019,189
